myth,description,google_hits,y_n,category,percentString,percent
An 'Autism Epidemic',"There's only been an increase in diagnoses of autism, caused by heightened awareness of the ailment, not incidence.",1130000,,body,0.11%,0.00114
The Left and right brains have different capabilities,No solid functional division; some functions activate some areas more than others. Left brain can learn 'right brain' functions and vice-versa.,2600000,"""left brain"" ""right brain"" different",brain,0.26%,0.00262
Adding salt to water makes it boil more quickly,"Naturally salted water will boil more quickly, because of the low heat capacity of the salt content but adding salt to fresh water will not make any difference.",11300000,,cooking,1.14%,0.01139
Oil stops pasta sticking,Does not prevent sticking. But it can stop the water foaming or boiling over.,5200000,,Cooking,0.52%,0.00524
You can get high from banana peel,"A hoax, perpetuated through the Internet. ",3390000,,drugs,0.34%,0.00342
George Washington smoked cannabis,He grew hemp to make rope and clothes but there's no evidence to suggest he smoked a fatty most nights.,1460000,,drugs,0.15%,0.00147
"If you've used LSD, you're legally insane.",Urban myth,898000,,drugs,0.09%,0.00091
Marijuana is a gateway drug,Most pot users don't go on to harder drugs. Those who do are probably influenced by social and other factors.,767000,,drugs,0.08%,0.00077
Rule of thumb,Not from a law allowing a man to hit his wife with a stick no thicker than his thumb. ,1040000,"y,  ""Rule of thumb"" beating women",Etymology,0.10%,0.00105
The 5 Second Rule,"Amount of bacteria transferred to fallen food depends on how contaminated the floor is, not how long the food stays there.",96000000,,food,9.68%,0.0968
Eating before swimming is dangerous,Doesn't increase risk of cramps; alcohol is the biggest increase in risk.,7460000,"y,,, ""eating before swimming"" cramps or dangerous",health,0.75%,0.00752
"Hair products can ""repair"" your hair",Nothing can fix split ends or damaged hair. They can prevent damage and make hair look better though.,1800000,,health,0.18%,0.00182
Waking sleepwalkers is dangerous,"No, but they'll be really confused. Sleepwalkers are more likely to hurt themselves if they're not awoken. ",941000,y,health,0.09%,0.00095
Most body heat is lost through the head,Only in infants. Or if the head is the only uncovered part of the body.,434000,What % is normally lost through the head under normal conditions?,health,0.04%,0.00044
Alcohol kills brain cells,Only in heavy users and alcoholics who rely on alcohol to get most of their calories.,393000,"""alcohol kills brain cells""",health,0.04%,0.0004
Napoleon was short,"A tall tale. At 5'7"", he was actually above average height for a Frenchman of the time.",33400000,,history,3.37%,0.03368
Einstein failed maths,"Nope. He failed an entrance exam for a school, two years early, and still excelled in maths.",2130000,y,history,0.21%,0.00215
